更新时间,#genre#
CCTV4,http://223.145.224.77:8000/udp/239.76.253.154:9000
CCTV4,http://223.145.224.76:8000/udp/239.76.246.154:1234
CCTV4,http://223.145.224.77:8000/udp/239.76.245.195:1234
CCTV4,http://223.145.224.76:8000/udp/239.76.253.154:9000
CCTV4K,http://223.145.224.76:8000/udp/239.76.254.101:9000
CCTV4K,http://223.145.224.76:8000/udp/239.76.254.101:9000
CCTV4K,http://223.145.224.76:8000/udp/239.76.254.101:9000
CCTV4K,http://223.145.224.77:8000/udp/239.76.254.101:9000
CCTV4K,http://223.145.224.77:8000/udp/239.76.254.101:9000
CCTV4K,http://223.145.224.76:8000/udp/239.76.254.101:9000
CCTV4中文国际欧洲,http://223.145.224.76:8000/udp/239.76.246.95:1234
CCTV4中文国际欧洲,http://223.145.224.76:8000/udp/239.76.246.95:1234
CCTV4中文国际欧洲,http://223.145.224.76:8000/udp/239.76.246.95:1234
CCTV4中文国际欧洲,http://223.145.224.77:8000/udp/239.76.246.95:1234
CCTV4中文国际欧洲,http://223.145.224.76:8000/udp/239.76.246.95:1234
CCTV4中文国际欧洲,http://223.145.224.77:8000/udp/239.76.246.95:1234
CCTV4中文国际欧洲,http://223.145.224.77:8000/udp/239.76.246.95:1234
CCTV4中文国际美洲,http://223.145.224.76:8000/udp/239.76.246.96:1234
CCTV4中文国际美洲,http://223.145.224.76:8000/udp/239.76.246.96:1234
CCTV4中文国际美洲,http://223.145.224.77:8000/udp/239.76.246.96:1234
CCTV4中文国际美洲,http://223.145.224.77:8000/udp/239.76.246.96:1234
CCTV4中文国际美洲,http://223.145.224.77:8000/udp/239.76.246.96:1234
CCTV4中文国际美洲,http://223.145.224.76:8000/udp/239.76.246.96:1234
CCTV4中文国际美洲,http://223.145.224.77:8000/udp/239.76.246.96:1234
CCTV5,http://223.145.224.77:8000/udp/239.76.253.155:9000
CCTV5,http://223.145.224.76:8000/udp/239.76.253.155:9000
CCTV5,http://223.145.224.76:8000/udp/239.76.253.155:9000
CCTV5,http://223.145.224.77:8000/udp/239.76.253.155:9000
CCTV5,http://223.145.224.77:8000/udp/239.76.246.155:1234
CCTV5,http://223.145.224.77:8000/udp/239.76.253.155:9000
CCTV5,http://223.145.224.76:8000/udp/239.76.253.155:9000
CCTV5,http://223.145.224.77:8000/udp/239.76.253.155:9000
CCTV5,http://223.145.224.77:8000/udp/239.76.246.155:1234
CCTV5,http://223.145.224.76:8000/udp/239.76.253.155:9000
CCTV5+,http://223.145.224.76:8000/udp/239.76.254.215:9000
CCTV5+,http://223.145.224.76:8000/udp/239.76.253.168:9000
CCTV5+,http://223.145.224.77:8000/udp/239.76.253.168:9000
CCTV5+,http://223.145.224.77:8000/udp/239.76.253.168:9000
CCTV5+,http://223.145.224.76:8000/udp/239.76.254.215:9000
CCTV5+,http://223.145.224.76:8000/udp/239.76.253.168:9000
CCTV5+,http://223.145.224.77:8000/udp/239.76.246.168:1234
CCTV5+,http://223.145.224.77:8000/udp/239.76.246.168:1234
CCTV5+,http://223.145.224.77:8000/udp/239.76.246.168:1234
CCTV5+,http://223.145.224.77:8000/udp/239.76.254.215:9000
CCTV6,http://223.145.224.77:8000/udp/239.76.253.156:9000
CCTV6,http://223.145.224.77:8000/udp/239.76.246.156:1234
CCTV6,http://223.145.224.77:8000/udp/239.76.246.156:1234
CCTV6,http://223.145.224.76:8000/udp/239.76.253.156:9000
CCTV6,http://223.145.224.77:8000/udp/239.76.253.156:9000
CCTV6,http://223.145.224.77:8000/udp/239.76.246.156:1234
CCTV6,http://223.145.224.76:8000/udp/239.76.246.156:1234
CCTV6,http://113.223.213.52:9000/udp/239.76.246.156:1234
CCTV6,http://223.145.224.77:8000/udp/239.76.253.156:9000
CCTV6,http://223.145.224.76:8000/udp/239.76.253.156:9000
CCTV7,http://223.145.224.76:8000/udp/239.76.246.157:1234
CCTV7,http://223.145.224.77:8000/udp/239.76.253.157:9000
CCTV7,http://223.145.224.77:8000/udp/239.76.253.157:9000
CCTV7,http://223.145.224.77:8000/udp/239.76.246.157:1234
CCTV7,http://223.145.224.76:8000/udp/239.76.253.157:9000
CCTV7,http://223.145.224.76:8000/udp/239.76.246.157:1234
CCTV7,http://223.145.224.77:8000/udp/239.76.246.157:1234
CCTV7,http://223.145.224.77:8000/udp/239.76.253.157:9000
CCTV7,http://223.145.224.76:8000/udp/239.76.253.157:9000
CCTV7,http://223.145.224.76:8000/udp/239.76.253.157:9000
CCTV8,http://223.145.224.76:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.76:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.77:8000/udp/239.76.253.158:9000
CCTV8,http://223.145.224.77:8000/udp/239.76.253.158:9000
CCTV8,http://223.145.224.76:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.76:8000/udp/239.76.253.158:9000
CCTV8,http://223.145.224.77:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.77:8000/udp/239.76.253.158:9000
CCTV8,http://223.145.224.77:8000/udp/239.76.246.158:1234
CCTV8,http://223.145.224.77:8000/udp/239.76.246.158:1234
CCTV9,http://223.145.224.76:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.77:8000/udp/239.76.253.159:9000
CCTV9,http://223.145.224.77:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.77:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.76:8000/udp/239.76.253.159:9000
CCTV9,http://223.145.224.77:8000/udp/239.76.253.159:9000
CCTV9,http://223.145.224.76:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.77:8000/udp/239.76.246.159:1234
CCTV9,http://223.145.224.77:8000/udp/239.76.253.159:9000
CCTV9,http://223.145.224.77:8000/udp/239.76.253.159:9000
CCTV10,http://223.145.224.76:8000/udp/239.76.253.160:9000
CCTV10,http://223.145.224.76:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.77:8000/udp/239.76.253.160:9000
CCTV10,http://223.145.224.77:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.76:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.77:8000/udp/239.76.253.160:9000
CCTV10,http://223.145.224.76:8000/udp/239.76.253.160:9000
CCTV10,http://223.145.224.76:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.77:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.77:8000/udp/239.76.246.160:1234
CCTV11,http://223.145.224.76:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.77:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.77:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.76:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.76:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.76:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.77:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.77:8000/udp/239.76.245.251:1234
CCTV11,http://223.145.224.77:8000/udp/239.76.252.61:9000
CCTV11,http://223.145.224.76:8000/udp/239.76.252.61:9000
CCTV12,http://223.145.224.77:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.76:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.77:8000/udp/239.76.246.162:1234
CCTV12,http://223.145.224.77:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.77:8000/udp/239.76.246.162:1234
CCTV12,http://223.145.224.76:8000/udp/239.76.253.162:9000
CCTV12,http://223.145.224.76:8000/udp/239.76.246.162:1234
CCTV12,http://223.145.224.76:8000/udp/239.76.246.162:1234
CCTV12,http://223.145.224.77:8000/udp/239.76.246.162:1234
CCTV12,http://223.145.224.77:8000/udp/239.76.253.162:9000
CCTV13,http://223.145.224.77:8000/udp/239.76.253.93:9000
CCTV13,http://223.145.224.76:8000/udp/239.76.253.93:9000
CCTV13,http://223.145.224.76:8000/udp/239.76.253.93:9000
CCTV13,http://223.145.224.77:8000/udp/239.76.246.93:1234
CCTV13,http://223.145.224.77:8000/udp/239.76.246.93:1234
CCTV13,http://223.145.224.76:8000/udp/239.76.246.93:1234
CCTV13,http://223.145.224.77:8000/udp/239.76.246.93:1234
CCTV13,http://223.145.224.76:8000/udp/239.76.246.93:1234
CCTV13,http://223.145.224.77:8000/udp/239.76.253.93:9000
CCTV13,http://223.145.224.77:8000/udp/239.76.253.93:9000
CCTV14,http://223.145.224.77:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.77:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.76:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.77:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.76:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.76:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.77:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.76:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.77:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.76:8000/udp/239.76.253.164:9000
CCTV15,http://223.145.224.77:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.77:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.77:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.77:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.76:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.76:8000/udp/239.76.252.65:9000
CCTV15,http://223.145.224.77:8000/udp/239.76.252.65:9000
CCTV15,http://223.145.224.76:8000/udp/239.76.252.65:9000
CCTV15,http://223.145.224.76:8000/udp/239.76.252.65:9000
CCTV15,http://223.145.224.77:8000/udp/239.76.252.65:9000
CCTV16,http://223.145.224.76:8000/udp/239.76.246.224:1234
CCTV16,http://223.145.224.76:8000/udp/239.76.246.98:1234
CCTV16,http://223.145.224.76:8000/udp/239.76.246.98:1234
CCTV16,http://223.145.224.76:8000/udp/239.76.254.200:9000
CCTV16,http://223.145.224.76:8000/udp/239.76.246.230:1234
CCTV16,http://223.145.224.77:8000/udp/239.76.246.98:1234
CCTV16,http://223.145.224.76:8000/udp/239.76.254.200:9000
CCTV16,http://223.145.224.76:8000/udp/239.76.253.98:9000
CCTV16,http://223.145.224.77:8000/udp/239.76.246.230:1234
CCTV16,http://223.145.224.76:8000/udp/239.76.246.230:1234
CCTV17,http://223.145.224.76:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.76:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.77:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.77:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.76:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.76:8000/udp/239.76.252.237:9000
CCTV17,http://223.145.224.77:8000/udp/239.76.245.238:1234
CCTV17,http://223.145.224.76:8000/udp/239.76.252.237:9000
CCTV17,http://223.145.224.76:8000/udp/239.76.252.237:9000
CCTV17,http://223.145.224.77:8000/udp/239.76.252.237:9000
CCTV世界地理,http://223.145.224.77:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.76:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.77:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.76:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.77:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.76:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.76:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.76:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.77:8000/udp/239.76.254.57:9000
CCTV世界地理,http://223.145.224.77:8000/udp/239.76.254.57:9000
CCTV兵器科技,http://223.145.224.77:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.77:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.76:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.76:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.76:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.76:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.77:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.77:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.77:8000/udp/239.76.254.59:9000
CCTV兵器科技,http://223.145.224.76:8000/udp/239.76.254.59:9000
CCTV央视台球,http://223.145.224.76:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.76:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.76:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.77:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.76:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.77:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.77:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.76:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.76:8000/udp/239.76.254.58:9000
CCTV央视台球,http://223.145.224.76:8000/udp/239.76.254.58:9000
CCTV央视文化精品,http://223.145.224.76:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.76:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.77:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.77:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.76:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.76:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.77:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.76:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.77:8000/udp/239.76.254.56:9000
CCTV央视文化精品,http://223.145.224.76:8000/udp/239.76.254.56:9000
CCTV央视高尔夫,http://223.145.224.76:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.76:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.77:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.77:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.77:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.76:8000/udp/239.76.254.62:9000
CCTV央视高尔夫,http://223.145.224.77:8000/udp/239.76.254.62:9000
CCTV女性时尚,http://223.145.224.77:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.76:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.76:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.76:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.77:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.77:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.77:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.77:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.76:8000/udp/239.76.254.55:9000
CCTV女性时尚,http://223.145.224.76:8000/udp/239.76.254.55:9000
CCTV怀旧剧场,http://223.145.224.76:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.76:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.77:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.77:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.77:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.76:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.77:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.76:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.76:8000/udp/239.76.254.53:9000
CCTV怀旧剧场,http://223.145.224.76:8000/udp/239.76.254.53:9000
CCTV电视指南,http://223.145.224.76:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.76:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.76:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.77:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.77:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.77:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.76:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.77:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.76:8000/udp/239.76.254.61:9000
CCTV电视指南,http://223.145.224.77:8000/udp/239.76.254.61:9000
CCTV第一剧场,http://223.145.224.76:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.77:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.77:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.76:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.77:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.76:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.77:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.76:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.76:8000/udp/239.76.254.49:9000
CCTV第一剧场,http://223.145.224.77:8000/udp/239.76.254.49:9000
CCTV风云剧场,http://223.145.224.76:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.77:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.77:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.77:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.77:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.76:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.76:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.76:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.76:8000/udp/239.76.254.50:9000
CCTV风云剧场,http://223.145.224.77:8000/udp/239.76.254.50:9000
CCTV风云足球,http://223.145.224.77:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.76:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.77:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.77:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.77:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.76:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.76:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.77:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.76:8000/udp/239.76.254.52:9000
CCTV风云足球,http://223.145.224.76:8000/udp/239.76.254.52:9000
CCTV风云音乐,http://223.145.224.77:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.76:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.77:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.76:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.76:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.76:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.77:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.76:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.77:8000/udp/239.76.254.51:9000
CCTV风云音乐,http://223.145.224.76:8000/udp/239.76.254.51:9000
CCTV高尔夫网球,http://223.145.224.76:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.77:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.76:8000/udp/239.76.254.62:9000
CCTV高尔夫网球,http://223.145.224.77:8000/udp/239.76.254.62:9000

卫视频道,#genre#:
CHC动作电影,http://223.145.224.77:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.77:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.77:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.77:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.76:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.77:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.76:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.77:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.77:8000/udp/239.76.245.243:1234
CHC动作电影,http://223.145.224.76:8000/udp/239.76.245.243:1234
CHC家庭影院,http://223.145.224.77:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.77:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.77:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.77:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.77:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.76:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.77:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.76:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.76:8000/udp/239.76.245.241:1234
CHC家庭影院,http://223.145.224.76:8000/udp/239.76.245.241:1234
CHC影迷电影,http://223.145.224.77:8000/udp/239.76.245.242:1234
CHC影迷电影,http://223.145.224.77:8000/udp/239.76.245.242:1234
CHC影迷电影,http://223.145.224.76:8000/udp/239.76.245.242:1234
CHC影迷电影,http://223.145.224.77:8000/udp/239.76.245.242:1234
CHC影迷电影,http://223.145.224.76:8000/udp/239.76.245.242:1234
CHC影迷电影,http://223.145.224.77:8000/udp/239.76.245.242:1234
CHC影迷电影,http://223.145.224.76:8000/udp/239.76.245.242:1234
CHC高清电影,http://223.145.224.77:8000/udp/239.76.245.242:1234
CHC高清电影,http://223.145.224.77:8000/udp/239.76.245.242:1234
CHC高清电影,http://223.145.224.76:8000/udp/239.76.245.242:1234
CHC高清电影,http://223.145.224.77:8000/udp/239.76.245.242:1234
CHC高清电影,http://223.145.224.77:8000/udp/239.76.245.242:1234
CHC高清电影,http://223.145.224.76:8000/udp/239.76.245.242:1234
CHC高清电影,http://223.145.224.76:8000/udp/239.76.245.242:1234
三沙卫视,http://223.145.224.76:8000/udp/239.76.246.74:1234
三沙卫视,http://223.145.224.77:8000/udp/239.76.246.74:1234
三沙卫视,http://223.145.224.77:8000/udp/239.76.246.74:1234
三沙卫视,http://223.145.224.77:8000/udp/239.76.246.74:1234
三沙卫视,http://223.145.224.76:8000/udp/239.76.246.74:1234
三沙卫视,http://223.145.224.76:8000/udp/239.76.246.74:1234
三沙卫视,http://223.145.224.77:8000/udp/239.76.246.74:1234
东南卫视,http://223.145.224.77:8000/udp/239.76.252.190:9000
东南卫视,http://223.145.224.76:8000/udp/239.76.252.190:9000
东南卫视,http://223.145.224.77:8000/udp/239.76.252.190:9000
东南卫视,http://223.145.224.76:8000/udp/239.76.252.190:9000
东南卫视,http://223.145.224.77:8000/udp/239.76.252.190:9000
东南卫视,http://223.145.224.77:8000/udp/239.76.245.190:1234
东南卫视,http://223.145.224.76:8000/udp/239.76.245.190:1234
东南卫视,http://223.145.224.76:8000/udp/239.76.245.190:1234
东南卫视,http://223.145.224.77:8000/udp/239.76.252.90:9000
东南卫视,http://223.145.224.77:8000/udp/239.76.252.90:9000
东方卫视,http://223.145.224.76:8000/udp/239.76.253.186:9000
东方卫视,http://223.145.224.76:8000/udp/239.76.253.186:9000
东方卫视,http://223.145.224.76:8000/udp/239.76.246.186:1234
东方卫视,http://223.145.224.77:8000/udp/239.76.253.186:9000
东方卫视,http://223.145.224.76:8000/udp/239.76.253.186:9000
东方卫视,http://223.145.224.77:8000/udp/239.76.253.186:9000
东方卫视,http://223.145.224.77:8000/udp/239.76.246.186:1234
东方卫视,http://223.145.224.76:8000/udp/239.76.246.186:1234
东方卫视,http://223.145.224.76:8000/udp/239.76.246.186:1234
东方卫视,http://223.145.224.77:8000/udp/239.76.252.86:9000
云南卫视,http://223.145.224.77:8000/udp/239.76.254.60:9000
云南卫视,http://223.145.224.76:8000/udp/239.76.254.60:9000
云南卫视,http://223.145.224.76:8000/udp/239.76.252.98:9000
云南卫视,http://223.145.224.76:8000/udp/239.76.252.98:9000
云南卫视,http://223.145.224.77:8000/udp/239.76.252.98:9000
云南卫视,http://223.145.224.76:8000/udp/239.76.254.60:9000
云南卫视,http://223.145.224.76:8000/udp/239.76.254.60:9000
云南卫视,http://223.145.224.76:8000/udp/239.76.252.98:9000
云南卫视,http://223.145.224.76:8000/udp/239.76.252.98:9000
云南卫视,http://223.145.224.77:8000/udp/239.76.252.98:9000
兵团卫视,http://223.145.224.77:8000/udp/239.76.245.232:1234
兵团卫视,http://223.145.224.76:8000/udp/239.76.245.232:1234
兵团卫视,http://223.145.224.76:8000/udp/239.76.245.232:1234
兵团卫视,http://223.145.224.76:8000/udp/239.76.245.232:1234
兵团卫视,http://223.145.224.77:8000/udp/239.76.245.232:1234
兵团卫视,http://223.145.224.77:8000/udp/239.76.245.232:1234
兵团卫视,http://223.145.224.77:8000/udp/239.76.245.232:1234
内蒙古卫视,http://223.145.224.76:8000/udp/239.76.245.106:1234
